setup,size,size_bytes,lite_time_us,nccl_time_us,lite_busbw,nccl_busbw,nccl_cfg,nccl_log,nccl_label
2nx1g,8MiB,8388608,242.82,348.92,17.27,12.02,ring_simple,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_ring_simple.log,NCCL tuned
2nx1g,16MiB,16777216,448.4,670.88,18.71,12.5,buff8m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff8m.log,NCCL tuned
2nx1g,32MiB,33554432,893.94,1317.04,18.77,12.74,buff16m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff16m.log,NCCL tuned
2nx1g,64MiB,67108864,1844.92,2617.5,18.19,12.82,buff16m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff16m.log,NCCL tuned
2nx1g,128MiB,134217728,3766.19,5217.18,17.82,12.86,buff16m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff16m.log,NCCL tuned
2nx1g,256MiB,268435456,7588.05,10419.3,17.69,12.88,buff16m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff16m.log,NCCL tuned
2nx1g,512MiB,536870912,15248.4,20822.2,17.6,12.89,buff16m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff16m.log,NCCL tuned
2nx1g,1GiB,1073741824,30583.1,41638.1,17.55,12.89,buff16m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff16m.log,NCCL tuned
2nx2g,128B,128,11.35,12.07,0.01,0.01,ring_ll,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_small_ring_ll.log,NCCL tuned
2nx2g,256B,256,11.39,12.19,0.02,0.02,ring_ll,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_small_ring_ll.log,NCCL tuned
2nx2g,512B,512,11.31,12.36,0.03,0.03,ch2,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch2.log,NCCL tuned
2nx2g,1KiB,1024,11.36,12.54,0.07,0.06,ch2,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch2.log,NCCL tuned
2nx2g,2KiB,2048,11.21,12.59,0.14,0.12,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_cross1.log,NCCL tuned
2nx2g,4KiB,4096,11.26,12.96,0.27,0.24,p2p4m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_p2p4m.log,NCCL tuned
2nx2g,8KiB,8192,15.58,13.55,0.39,0.45,ch2,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch2.log,NCCL tuned
2nx2g,16KiB,16384,24.51,14.86,0.5,0.83,ch1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch1.log,NCCL tuned
2nx2g,32KiB,32768,16.6,16.28,1.48,1.51,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch4.log,NCCL tuned
2nx2g,64KiB,65536,17.35,20.66,2.83,2.38,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch4.log,NCCL tuned
2nx2g,128KiB,131072,29.53,29.77,3.33,3.3,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch4.log,NCCL tuned
2nx2g,256KiB,262144,33.26,45.48,5.91,4.32,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch4.log,NCCL tuned
2nx2g,512KiB,524288,54.35,64.6,7.24,6.09,ring_simple,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ring_simple.log,NCCL tuned
2nx2g,1MiB,1048576,84.0,80.82,9.36,9.73,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch4.log,NCCL tuned
2nx2g,2MiB,2097152,124.71,131.21,12.61,11.99,cross0,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_cross0.log,NCCL tuned
2nx2g,4MiB,4194304,200.8,223.9,15.67,14.05,p2p4m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_p2p4m.log,NCCL tuned
2nx2g,8MiB,8388608,346.21,419.05,18.17,15.01,ch2,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch2.log,NCCL tuned
2nx2g,16MiB,16777216,639.22,824.63,19.68,15.26,p2p4m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_p2p4m.log,NCCL tuned
2nx2g,32MiB,33554432,1222.36,1637.07,20.59,15.37,p2p4m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_p2p4m.log,NCCL tuned
2nx2g,64MiB,67108864,2452.66,3260.45,20.52,15.44,ch2,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch2.log,NCCL tuned
